name,model,version,year,km,city,province,price
Toyota,Rav4,2.0L 4x2,2002,308000 km,Loja | ,Loja,u$s11.800
Chevrolet,Grand Vitara,5P Ac,2014,78700 km,Quito | ,Pichincha,u$s16.000
Chevrolet,Luv,"Doble Cab. 4p P-up 4x2 L4,2.3i,8v S 2 3",1996,200000 km,General Antonio Elizalde (Bucay) | ,Guayas,u$s7.500
Chevrolet,Spark GT,1.2L Full,2016,37000 km,Quito | ,Pichincha,u$s10.000
Chevrolet,Tracker,1.8L LT Aut,2017,28000 km,Quito | ,Pichincha,u$s20.500
Chevrolet,Grand Vitara,3P 1.6i 4x4,2009,169000 km,Cuenca | ,Azuay,u$s10.650
Chevrolet,S-Cross,1.6L,2019,74000 km,Cuenca | ,Azuay,u$s18.000
Ford,F150,XLT 4x2 Cabina Doble,2009,193250 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s19.500
Hyundai,Terracan,2.5 diesel CDRI,2005,257234 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s9.700
Hyundai,Sonata Híbrido,2.0L GL,2017,60000 km,Quito | ,Pichincha,u$s22.900
Mitsubishi,Montero Sport,Sport,2007,150000 km,Huaquillas | ,El Oro,u$s9.400
Nissan,CABINA DOBLE 2.4,2.4 4x4,2008,193290 km, Milagro | ,Guayas,u$s4.000
Renault,Mègane,"Classic L4,1.6i,16v S 2 1",2007,123000 km,El Triunfo | ,Guayas,u$s4.200
Kia,Rio,R 1.4L,2013,149605 km,Esmeraldas | ,Esmeraldas,u$s9.200
Mazda,6,2.0L,2007,145000 km,Ambato | ,Tungurahua,u$s6.400
Skoda,Octavia,1.8L TSI,2008,360000 km,Quito | ,Pichincha,u$s8.500
Toyota,4Runner,Limited,2014,78364 km,Loja | ,Loja,u$s58.000
Chery,Tiggo,1.6L 4x2,2017,73000 km,Quito | ,Pichincha,u$s14.000
JAC,S3,1.6L Plus,2019,15000 km,Quito | ,Pichincha,u$s15.990
Chevrolet,Aveo Emotion,1.6L Advance,2008,61000 km,Gualaquiza | ,Morona Santiago,u$s5.400
Chevrolet,Optra,GT hatchback,2007,230000 km,Quito | ,Pichincha,u$s8.500
Chevrolet,Aveo Family,1.5L Ac,2013,257144 km,Chone | ,Manabí,u$s10.000
Chevrolet,Sail Hatchback,1.4L Ac,2012,169000 km,Quito | ,Pichincha,u$s8.800
Chevrolet,Sail Sedán,Full,2016,120000 km,Quito | ,Pichincha,u$s12.000
Chevrolet,N300,Pasajeros 4x2,2013,80000 km,Guayaquil | ,Guayas,u$s12.800
Chevrolet,Grand Vitara,SZ 2.0L 4x2,2009,232000 km,Riobamba | ,Chimborazo,u$s10.800
Chevrolet,Grand Vitara,5P Ac,2008,163000 km,Guaranda | ,Bolivar,u$s10.800
Chevrolet,D-Max,3.0L CD 4x4,2016,135000 km,Quito | ,Pichincha,u$s29.600
Hyundai,Santa Fe,5 Pas 2.4 4x2 Aut,2013,129000 km,Rumiñahui | ,Pichincha,u$s24.200
Hyundai,Tucson,4x2,2010,209000 km,Guayaquil | ,Guayas,u$s13.000
Hyundai,Grand i10,1.0L A/C,2019,7000 km,Guayaquil | ,Guayas,u$s14.000
Hyundai,Tucson,4x2 Ac Aut,2007,260000 km,Santo Domingo De Los Tsáchilas | ,Santo Domingo de los Tsáchilas,u$s10.000
Mitsubishi,Canter,"Fe 434 L4,5.0i S 1 3",2008,215000 km,Loja | ,Loja,u$s19.800
Nissan,Versa,1.6L Sense,2019,18900 km,Quito | ,Pichincha,u$s19.000
Nissan,Patrol,GRX,2004,307000 km,Quito | ,Pichincha,u$s16.000
Volkswagen,T-Cross,1.6L Comfortline,2008,98200 km,Quito | ,Pichincha,u$s10.900
Renault,Logan,Familier Ac,2014,126921 km,Quito | ,Pichincha,u$s9.500
Mercedes Benz,Clase A Hatchback,180 d,1965,108002 km,Aguarico | ,Orellana,u$s2.600
